cuisine,count,year,change_from_2016
Chinese Mainland,37,2016,0
Hong Kong Style,4274,2016,0
Japanese,1360,2016,0
Korean,238,2016,0
Mainland China,2726,2016,0
Other,227,2016,0
Taiwan,240,2016,0
Thai,369,2016,0
Vietnamese,153,2016,0
Western,3854,2016,0
Chinese Mainland,41,2017,4
Hong Kong Style,4302,2017,28
Japanese,1373,2017,13
Korean,261,2017,23
Mainland China,2791,2017,65
Other,230,2017,3
Taiwan,262,2017,22
Thai,395,2017,26
Vietnamese,164,2017,11
Western,4050,2017,196
Chinese Mainland,38,2018,1
Hong Kong Style,4443,2018,169
Japanese,1446,2018,86
Korean,257,2018,19
Mainland China,2903,2018,177
Other,247,2018,20
Taiwan,296,2018,56
Thai,398,2018,29
Vietnamese,195,2018,42
Western,4238,2018,384
Chinese Mainland,38,2019,1
Hong Kong Style,4552,2019,278
Japanese,1509,2019,149
Korean,261,2019,23
Mainland China,2993,2019,267
Other,259,2019,32
Taiwan,322,2019,82
Thai,418,2019,49
Vietnamese,224,2019,71
Western,4410,2019,556
Chinese Mainland,42,2020,5
Hong Kong Style,4749,2020,475
Japanese,1566,2020,206
Korean,250,2020,12
Mainland China,3025,2020,299
Other,282,2020,55
Taiwan,339,2020,99
Thai,431,2020,62
Vietnamese,231,2020,78
Western,4540,2020,686
Chinese Mainland,47,2021,10
Hong Kong Style,4841,2021,567
Japanese,1597,2021,237
Korean,256,2021,18
Mainland China,3070,2021,344
Other,297,2021,70
Taiwan,386,2021,146
Thai,452,2021,83
Vietnamese,234,2021,81
Western,4700,2021,846
Chinese Mainland,59,2022,22
Hong Kong Style,4897,2022,623
Japanese,1739,2022,379
Korean,258,2022,20
Mainland China,3053,2022,327
Other,327,2022,100
Taiwan,407,2022,167
Thai,444,2022,75
Vietnamese,226,2022,73
Western,5002,2022,1148
Chinese Mainland,51,2023,14
Hong Kong Style,4824,2023,550
Japanese,1920,2023,560
Korean,275,2023,37
Mainland China,3194,2023,468
Other,354,2023,127
Taiwan,425,2023,185
Thai,460,2023,91
Vietnamese,237,2023,84
Western,5072,2023,1218
Chinese Mainland,33,2024,-4
Hong Kong Style,4764,2024,490
Japanese,2028,2024,668
Korean,295,2024,57
Mainland China,3358,2024,632
Other,359,2024,132
Taiwan,448,2024,208
Thai,479,2024,110
Vietnamese,232,2024,79
Western,4970,2024,1116
Chinese Mainland,15,2025,-22
Hong Kong Style,4680,2025,406
Japanese,1953,2025,593
Korean,313,2025,75
Mainland China,3609,2025,883
Other,365,2025,138
Taiwan,465,2025,225
Thai,494,2025,125
Vietnamese,238,2025,85
Western,4597,2025,743
