cuisine,count,year,yoy_change,yoy_pct
Chinese Mainland,37,2016,,
Chinese Mainland,41,2017,4.0,10.81081081081081
Chinese Mainland,38,2018,-3.0,-7.317073170731703
Chinese Mainland,38,2019,0.0,0.0
Chinese Mainland,42,2020,4.0,10.526315789473696
Chinese Mainland,47,2021,5.0,11.904761904761907
Chinese Mainland,59,2022,12.0,25.531914893617014
Chinese Mainland,51,2023,-8.0,-13.559322033898303
Chinese Mainland,33,2024,-18.0,-35.29411764705882
Chinese Mainland,15,2025,-18.0,-54.54545454545454
Hong Kong Style,4274,2016,,
Hong Kong Style,4302,2017,28.0,0.6551240056153596
Hong Kong Style,4443,2018,141.0,3.2775453277545274
Hong Kong Style,4552,2019,109.0,2.453297321629533
Hong Kong Style,4749,2020,197.0,4.327768014059763
Hong Kong Style,4841,2021,92.0,1.9372499473573335
Hong Kong Style,4897,2022,56.0,1.1567857880603105
Hong Kong Style,4824,2023,-73.0,-1.4907085971002654
Hong Kong Style,4764,2024,-60.0,-1.243781094527363
Hong Kong Style,4680,2025,-84.0,-1.7632241813602012
Japanese,1360,2016,,
Japanese,1373,2017,13.0,0.9558823529411731
Japanese,1446,2018,73.0,5.316824471959203
Japanese,1509,2019,63.0,4.356846473029052
Japanese,1566,2020,57.0,3.77733598409542
Japanese,1597,2021,31.0,1.9795657726692228
Japanese,1739,2022,142.0,8.89167188478397
Japanese,1920,2023,181.0,10.408280621046572
Japanese,2028,2024,108.0,5.624999999999991
Japanese,1953,2025,-75.0,-3.698224852071008
Korean,238,2016,,
Korean,261,2017,23.0,9.663865546218497
Korean,257,2018,-4.0,-1.532567049808431
Korean,261,2019,4.0,1.5564202334630295
Korean,250,2020,-11.0,-4.214559386973182
Korean,256,2021,6.0,2.400000000000002
Korean,258,2022,2.0,0.78125
Korean,275,2023,17.0,6.589147286821695
Korean,295,2024,20.0,7.272727272727275
Korean,313,2025,18.0,6.10169491525423
Mainland China,2726,2016,,
Mainland China,2791,2017,65.0,2.3844460748349228
Mainland China,2903,2018,112.0,4.012898602651371
Mainland China,2993,2019,90.0,3.1002411298656662
Mainland China,3025,2020,32.0,1.069161376545269
Mainland China,3070,2021,45.0,1.4876033057851235
Mainland China,3053,2022,-17.0,-0.5537459283387669
Mainland China,3194,2023,141.0,4.618408123157547
Mainland China,3358,2024,164.0,5.134627426424543
Mainland China,3609,2025,251.0,7.474687313877304
Other,227,2016,,
Other,230,2017,3.0,1.3215859030837107
Other,247,2018,17.0,7.391304347826089
Other,259,2019,12.0,4.858299595141702
Other,282,2020,23.0,8.880308880308885
Other,297,2021,15.0,5.319148936170204
Other,327,2022,30.0,10.1010101010101
Other,354,2023,27.0,8.25688073394495
Other,359,2024,5.0,1.412429378531077
Other,365,2025,6.0,1.671309192200554
Taiwan,240,2016,,
Taiwan,262,2017,22.0,9.166666666666657
Taiwan,296,2018,34.0,12.977099236641232
Taiwan,322,2019,26.0,8.783783783783793
Taiwan,339,2020,17.0,5.2795031055900665
Taiwan,386,2021,47.0,13.864306784660773
Taiwan,407,2022,21.0,5.440414507772018
Taiwan,425,2023,18.0,4.422604422604426
Taiwan,448,2024,23.0,5.41176470588236
Taiwan,465,2025,17.0,3.7946428571428603
Thai,369,2016,,
Thai,395,2017,26.0,7.046070460704601
Thai,398,2018,3.0,0.75949367088608
Thai,418,2019,20.0,5.025125628140703
Thai,431,2020,13.0,3.1100478468899517
Thai,452,2021,21.0,4.872389791183296
Thai,444,2022,-8.0,-1.7699115044247815
Thai,460,2023,16.0,3.603603603603611
Thai,479,2024,19.0,4.130434782608705
Thai,494,2025,15.0,3.131524008350728
Vietnamese,153,2016,,
Vietnamese,164,2017,11.0,7.189542483660127
Vietnamese,195,2018,31.0,18.90243902439024
Vietnamese,224,2019,29.0,14.871794871794863
Vietnamese,231,2020,7.0,3.125
Vietnamese,234,2021,3.0,1.298701298701288
Vietnamese,226,2022,-8.0,-3.4188034188034178
Vietnamese,237,2023,11.0,4.867256637168138
Vietnamese,232,2024,-5.0,-2.1097046413502074
Vietnamese,238,2025,6.0,2.586206896551735
Western,3854,2016,,
Western,4050,2017,196.0,5.085625324338339
Western,4238,2018,188.0,4.641975308641966
Western,4410,2019,172.0,4.058518168947622
Western,4540,2020,130.0,2.947845804988658
Western,4700,2021,160.0,3.524229074889873
Western,5002,2022,302.0,6.425531914893612
Western,5072,2023,70.0,1.3994402239104309
Western,4970,2024,-102.0,-2.011041009463721
Western,4597,2025,-373.0,-7.505030181086514
