Year,Tier,DCCAs,Restaurants,Shannon_H,Effective_N
2016,Tier 1,24,4906,1.60549856447092,4.9803420054463
2016,Tier 2,33,2706,1.56079186551687,4.76259108398851
2016,Tier 3,81,3116,1.55593866381553,4.73953326621494
2016,Tier 4,314,2523,1.5071312272782,4.51376324186639
2017,Tier 1,27,5354,1.61238277291373,5.01474600420395
2017,Tier 2,33,2636,1.57396213915496,4.82573058136155
2017,Tier 3,85,3185,1.56396323575956,4.77771899906104
2017,Tier 4,307,2464,1.51821892453958,4.56408896481851
2018,Tier 1,27,5518,1.61498150452874,5.02779493117214
2018,Tier 2,39,3041,1.57030093379225,4.80809489431375
2018,Tier 3,89,3240,1.58560290141455,4.88223399715215
2018,Tier 4,297,2415,1.52074693128067,4.57564160891702
2019,Tier 1,29,5920,1.62215208842497,5.06397672379831
2019,Tier 2,37,2895,1.58176463143973,4.86353058233067
2019,Tier 3,94,3494,1.60235130213151,4.96469220255077
2019,Tier 4,292,2418,1.51157252226093,4.53385477910186
2020,Tier 1,28,5975,1.62076639291888,5.05696445356689
2020,Tier 2,39,3095,1.57852048236363,4.84777812955352
2020,Tier 3,98,3670,1.59215758045748,4.91434058324777
2020,Tier 4,287,2433,1.50923627398908,4.52327493209612
2021,Tier 1,30,6222,1.62481665885016,5.07748803934216
2021,Tier 2,36,2886,1.59105412539314,4.90892082002582
2021,Tier 3,101,3958,1.5981828473307,4.94404018091802
2021,Tier 4,285,2517,1.50313998956185,4.49578364406506
2022,Tier 1,33,6807,1.6211515032118,5.05891231767608
2022,Tier 2,41,3143,1.59556909203825,4.93113454316586
2022,Tier 3,101,3774,1.59222495181502,4.91467168019741
2022,Tier 4,277,2361,1.48565885235235,4.41787518157509
2023,Tier 1,33,7009,1.63118257672107,5.10991401222634
2023,Tier 2,39,3079,1.60927033003501,4.99916215821028
2023,Tier 3,105,3968,1.60812819135229,4.99345568114263
2023,Tier 4,275,2402,1.51396926040805,4.54473427424695
2024,Tier 1,35,7263,1.64862483818757,5.19982430848909
2024,Tier 2,42,3189,1.62035138677677,5.05486621767873
2024,Tier 3,101,3764,1.62278439795891,5.06717973710158
2024,Tier 4,274,2391,1.51106855473284,4.53157043918102
2025,Tier 1,30,6574,1.67011654642225,5.31278694741148
2025,Tier 2,46,3571,1.63903436785594,5.1501939175293
2025,Tier 3,100,3769,1.63686967337701,5.13905737914092
2025,Tier 4,276,2450,1.51824329013608,4.56420017292342
