__Year,Hong Kong Style,Japanese,Korean,Mainland China,Other,South-east Asia,Taiwan,Western
2016,3891,1336,226,2769,140,576,240,3364
2017,3915,1338,250,2832,135,623,259,3498
2018,4027,1399,246,2943,148,666,292,3642
2019,4082,1453,248,3033,151,710,318,3712
2020,4237,1504,240,3073,156,740,335,3761
2021,4281,1522,246,3115,156,783,391,3847
2022,4295,1655,246,3106,161,780,419,3983
2023,4296,1837,265,3261,177,833,444,4154
2024,4415,1966,295,3427,185,870,477,4295
2025,4547,1958,322,3692,187,913,497,4312
