year,cuisine,tier,count
2016,Hong Kong Style,1,789
2016,Hong Kong Style,2,352
2016,Hong Kong Style,3,1833
2016,Hong Kong Style,4,892
2016,Japanese,1,526
2016,Japanese,2,163
2016,Japanese,3,470
2016,Japanese,4,173
2016,Korean,1,123
2016,Korean,2,16
2016,Korean,3,67
2016,Korean,4,20
2016,Mainland China,1,725
2016,Mainland China,2,274
2016,Mainland China,3,1180
2016,Mainland China,4,570
2016,Other,1,65
2016,Other,2,5
2016,Other,3,51
2016,Other,4,15
2016,South-east Asia,1,56
2016,South-east Asia,2,13
2016,South-east Asia,3,48
2016,South-east Asia,4,17
2016,Taiwan,1,64
2016,Taiwan,2,31
2016,Taiwan,3,88
2016,Taiwan,4,57
2016,Thai,1,83
2016,Thai,2,34
2016,Thai,3,169
2016,Thai,4,68
2016,Vietnamese,1,26
2016,Vietnamese,2,11
2016,Vietnamese,3,32
2016,Vietnamese,4,17
2016,Western,1,1395
2016,Western,2,342
2016,Western,3,1143
2016,Western,4,463
2017,Hong Kong Style,1,782
2017,Hong Kong Style,2,360
2017,Hong Kong Style,3,1845
2017,Hong Kong Style,4,902
2017,Japanese,1,540
2017,Japanese,2,165
2017,Japanese,3,469
2017,Japanese,4,161
2017,Korean,1,130
2017,Korean,2,19
2017,Korean,3,76
2017,Korean,4,25
2017,Mainland China,1,748
2017,Mainland China,2,283
2017,Mainland China,3,1183
2017,Mainland China,4,598
2017,Other,1,65
2017,Other,2,6
2017,Other,3,46
2017,Other,4,14
2017,South-east Asia,1,57
2017,South-east Asia,2,19
2017,South-east Asia,3,56
2017,South-east Asia,4,20
2017,Taiwan,1,61
2017,Taiwan,2,33
2017,Taiwan,3,106
2017,Taiwan,4,59
2017,Thai,1,96
2017,Thai,2,36
2017,Thai,3,183
2017,Thai,4,66
2017,Vietnamese,1,27
2017,Vietnamese,2,11
2017,Vietnamese,3,34
2017,Vietnamese,4,16
2017,Western,1,1423
2017,Western,2,373
2017,Western,3,1201
2017,Western,4,478
2018,Hong Kong Style,1,801
2018,Hong Kong Style,2,375
2018,Hong Kong Style,3,1884
2018,Hong Kong Style,4,938
